Architecture: alexnet
Load dataset: 5.14 s
Compute features
264 / 5005	Time: 0.048 (0.286)
265 / 5005	Time: 0.067 (0.285)
266 / 5005	Time: 0.054 (0.284)
267 / 5005	Time: 0.052 (0.283)
268 / 5005	Time: 0.040 (0.282)
269 / 5005	Time: 0.093 (0.282)
270 / 5005	Time: 0.061 (0.281)
271 / 5005	Time: 0.046 (0.280)
272 / 5005	Time: 0.788 (0.282)
273 / 5005	Time: 0.051 (0.281)
274 / 5005	Time: 0.066 (0.280)
275 / 5005	Time: 0.057 (0.280)
276 / 5005	Time: 0.042 (0.279)
277 / 5005	Time: 0.059 (0.278)
278 / 5005	Time: 1.223 (0.281)
279 / 5005	Time: 0.038 (0.280)
280 / 5005	Time: 0.046 (0.280)
281 / 5005	Time: 0.045 (0.279)
282 / 5005	Time: 0.055 (0.278)
283 / 5005	Time: 0.038 (0.277)
284 / 5005	Time: 0.044 (0.276)
285 / 5005	Time: 0.041 (0.275)
286 / 5005	Time: 0.057 (0.275)
287 / 5005	Time: 0.053 (0.274)
288 / 5005	Time: 0.069 (0.273)
289 / 5005	Time: 0.074 (0.273)
290 / 5005	Time: 0.961 (0.275)
291 / 5005	Time: 0.065 (0.274)
292 / 5005	Time: 0.049 (0.273)
293 / 5005	Time: 0.051 (0.273)
294 / 5005	Time: 0.055 (0.272)
295 / 5005	Time: 0.038 (0.271)
296 / 5005	Time: 1.049 (0.274)
297 / 5005	Time: 0.041 (0.273)
298 / 5005	Time: 0.041 (0.272)
299 / 5005	Time: 0.040 (0.271)
300 / 5005	Time: 0.038 (0.271)
301 / 5005	Time: 0.038 (0.270)
302 / 5005	Time: 0.040 (0.269)
303 / 5005	Time: 0.053 (0.268)
304 / 5005	Time: 0.047 (0.268)
305 / 5005	Time: 0.039 (0.267)
306 / 5005	Time: 0.047 (0.266)
307 / 5005	Time: 0.054 (0.266)
308 / 5005	Time: 0.999 (0.268)
309 / 5005	Time: 0.047 (0.267)
310 / 5005	Time: 0.041 (0.266)
311 / 5005	Time: 0.043 (0.266)
312 / 5005	Time: 0.042 (0.265)
313 / 5005	Time: 0.064 (0.264)
314 / 5005	Time: 1.185 (0.267)
315 / 5005	Time: 0.038 (0.267)
316 / 5005	Time: 0.044 (0.266)
317 / 5005	Time: 0.050 (0.265)
318 / 5005	Time: 0.051 (0.265)
319 / 5005	Time: 0.043 (0.264)
320 / 5005	Time: 0.056 (0.263)
321 / 5005	Time: 0.053 (0.263)
322 / 5005	Time: 0.046 (0.262)
323 / 5005	Time: 0.043 (0.261)
324 / 5005	Time: 0.044 (0.261)
325 / 5005	Time: 0.084 (0.260)
326 / 5005	Time: 0.560 (0.261)
327 / 5005	Time: 0.038 (0.260)
328 / 5005	Time: 0.067 (0.260)
329 / 5005	Time: 0.078 (0.259)
330 / 5005	Time: 0.050 (0.258)
331 / 5005	Time: 0.039 (0.258)
332 / 5005	Time: 1.526 (0.262)
333 / 5005	Time: 0.062 (0.261)
334 / 5005	Time: 0.056 (0.260)
335 / 5005	Time: 0.045 (0.260)
336 / 5005	Time: 0.050 (0.259)
337 / 5005	Time: 0.043 (0.258)
338 / 5005	Time: 0.042 (0.258)
339 / 5005	Time: 0.055 (0.257)
340 / 5005	Time: 0.073 (0.257)
341 / 5005	Time: 0.038 (0.256)
342 / 5005	Time: 0.048 (0.255)
343 / 5005	Time: 0.069 (0.255)
344 / 5005	Time: 0.514 (0.256)
345 / 5005	Time: 0.052 (0.255)
346 / 5005	Time: 0.062 (0.255)
347 / 5005	Time: 0.059 (0.254)
348 / 5005	Time: 0.048 (0.253)
349 / 5005	Time: 0.038 (0.253)
350 / 5005	Time: 1.726 (0.257)
351 / 5005	Time: 0.044 (0.256)
352 / 5005	Time: 0.049 (0.256)
353 / 5005	Time: 0.041 (0.255)
354 / 5005	Time: 0.039 (0.255)
355 / 5005	Time: 0.043 (0.254)
356 / 5005	Time: 0.046 (0.253)
357 / 5005	Time: 0.048 (0.253)
358 / 5005	Time: 0.054 (0.252)
359 / 5005	Time: 0.050 (0.252)
360 / 5005	Time: 0.062 (0.251)
361 / 5005	Time: 0.054 (0.251)
362 / 5005	Time: 0.040 (0.250)
363 / 5005	Time: 0.062 (0.250)
364 / 5005	Time: 0.050 (0.249)
365 / 5005	Time: 0.048 (0.248)
366 / 5005	Time: 0.053 (0.248)
367 / 5005	Time: 0.043 (0.247)
368 / 5005	Time: 1.805 (0.252)
369 / 5005	Time: 0.042 (0.251)
370 / 5005	Time: 0.063 (0.250)
371 / 5005	Time: 0.048 (0.250)
372 / 5005	Time: 0.050 (0.249)
373 / 5005	Time: 0.046 (0.249)
374 / 5005	Time: 0.038 (0.248)
375 / 5005	Time: 0.063 (0.248)
376 / 5005	Time: 0.086 (0.247)
377 / 5005	Time: 0.051 (0.247)
378 / 5005	Time: 0.038 (0.246)
379 / 5005	Time: 0.040 (0.246)
380 / 5005	Time: 0.042 (0.245)
381 / 5005	Time: 0.072 (0.245)
382 / 5005	Time: 0.090 (0.244)
383 / 5005	Time: 0.049 (0.244)
384 / 5005	Time: 0.043 (0.243)
385 / 5005	Time: 0.049 (0.243)
386 / 5005	Time: 1.780 (0.247)
387 / 5005	Time: 0.047 (0.246)
388 / 5005	Time: 0.039 (0.246)
389 / 5005	Time: 0.047 (0.245)
390 / 5005	Time: 0.050 (0.245)
391 / 5005	Time: 0.038 (0.244)
392 / 5005	Time: 0.049 (0.244)
393 / 5005	Time: 0.058 (0.243)
394 / 5005	Time: 0.075 (0.243)
395 / 5005	Time: 0.040 (0.242)
396 / 5005	Time: 0.043 (0.242)
397 / 5005	Time: 0.045 (0.241)
398 / 5005	Time: 0.066 (0.241)
399 / 5005	Time: 0.076 (0.240)
400 / 5005	Time: 0.082 (0.240)
401 / 5005	Time: 0.040 (0.240)
402 / 5005	Time: 0.045 (0.239)
403 / 5005	Time: 0.041 (0.239)
404 / 5005	Time: 1.588 (0.242)
405 / 5005	Time: 0.044 (0.241)
406 / 5005	Time: 0.077 (0.241)
407 / 5005	Time: 0.038 (0.241)
408 / 5005	Time: 0.072 (0.240)
409 / 5005	Time: 0.074 (0.240)
410 / 5005	Time: 0.043 (0.239)
411 / 5005	Time: 0.050 (0.239)
412 / 5005	Time: 0.055 (0.238)
413 / 5005	Time: 0.067 (0.238)
414 / 5005	Time: 0.053 (0.237)
415 / 5005	Time: 0.159 (0.237)
416 / 5005	Time: 0.057 (0.237)
417 / 5005	Time: 0.059 (0.236)
418 / 5005	Time: 0.044 (0.236)
419 / 5005	Time: 0.043 (0.235)
420 / 5005	Time: 0.038 (0.235)
421 / 5005	Time: 0.055 (0.235)
422 / 5005	Time: 1.432 (0.237)
423 / 5005	Time: 0.039 (0.237)
424 / 5005	Time: 0.041 (0.237)
425 / 5005	Time: 0.048 (0.236)
426 / 5005	Time: 0.043 (0.236)
427 / 5005	Time: 0.064 (0.235)
428 / 5005	Time: 0.051 (0.235)
429 / 5005	Time: 0.044 (0.234)
430 / 5005	Time: 0.063 (0.234)
431 / 5005	Time: 0.088 (0.234)
432 / 5005	Time: 0.051 (0.233)
433 / 5005	Time: 0.048 (0.233)
434 / 5005	Time: 0.050 (0.232)
435 / 5005	Time: 0.057 (0.232)
436 / 5005	Time: 0.051 (0.232)
437 / 5005	Time: 0.081 (0.231)
438 / 5005	Time: 0.062 (0.231)
439 / 5005	Time: 0.045 (0.230)
440 / 5005	Time: 1.621 (0.234)
441 / 5005	Time: 0.039 (0.233)
442 / 5005	Time: 0.042 (0.233)
443 / 5005	Time: 0.048 (0.232)
444 / 5005	Time: 0.040 (0.232)
445 / 5005	Time: 0.060 (0.231)
446 / 5005	Time: 0.077 (0.231)
447 / 5005	Time: 0.052 (0.231)
448 / 5005	Time: 0.058 (0.230)
449 / 5005	Time: 0.058 (0.230)
450 / 5005	Time: 0.045 (0.229)
451 / 5005	Time: 0.046 (0.229)
452 / 5005	Time: 0.045 (0.229)
453 / 5005	Time: 0.055 (0.228)
454 / 5005	Time: 0.043 (0.228)
455 / 5005	Time: 0.049 (0.227)
456 / 5005	Time: 0.063 (0.227)
457 / 5005	Time: 0.127 (0.227)
458 / 5005	Time: 1.690 (0.230)
459 / 5005	Time: 0.053 (0.230)
460 / 5005	Time: 0.074 (0.229)
461 / 5005	Time: 0.051 (0.229)
462 / 5005	Time: 0.052 (0.229)
463 / 5005	Time: 0.056 (0.228)
464 / 5005	Time: 0.051 (0.228)
465 / 5005	Time: 0.073 (0.228)
466 / 5005	Time: 0.059 (0.227)
467 / 5005	Time: 0.059 (0.227)
468 / 5005	Time: 0.039 (0.226)
469 / 5005	Time: 0.040 (0.226)
470 / 5005	Time: 0.048 (0.226)
471 / 5005	Time: 0.042 (0.225)
472 / 5005	Time: 0.061 (0.225)
473 / 5005	Time: 0.062 (0.225)
474 / 5005	Time: 0.073 (0.224)
475 / 5005	Time: 0.080 (0.224)
476 / 5005	Time: 1.838 (0.227)
477 / 5005	Time: 0.053 (0.227)
478 / 5005	Time: 0.047 (0.227)
479 / 5005	Time: 0.058 (0.226)
480 / 5005	Time: 0.054 (0.226)
481 / 5005	Time: 0.051 (0.226)
482 / 5005	Time: 0.063 (0.225)
483 / 5005	Time: 0.044 (0.225)
484 / 5005	Time: 0.060 (0.224)
485 / 5005	Time: 0.049 (0.224)
486 / 5005	Time: 0.050 (0.224)
487 / 5005	Time: 0.062 (0.223)
488 / 5005	Time: 0.048 (0.223)
489 / 5005	Time: 0.048 (0.223)
490 / 5005	Time: 0.057 (0.222)
491 / 5005	Time: 0.048 (0.222)
492 / 5005	Time: 0.042 (0.222)
493 / 5005	Time: 0.038 (0.221)
494 / 5005	Time: 1.699 (0.224)
495 / 5005	Time: 0.044 (0.224)
496 / 5005	Time: 0.038 (0.224)
497 / 5005	Time: 0.046 (0.223)
498 / 5005	Time: 0.087 (0.223)
499 / 5005	Time: 0.081 (0.223)
500 / 5005	Time: 0.044 (0.222)
501 / 5005	Time: 0.063 (0.222)
502 / 5005	Time: 0.092 (0.222)
503 / 5005	Time: 0.070 (0.221)
504 / 5005	Time: 0.051 (0.221)
505 / 5005	Time: 0.037 (0.221)
506 / 5005	Time: 0.054 (0.220)
507 / 5005	Time: 0.057 (0.220)
508 / 5005	Time: 0.040 (0.220)
509 / 5005	Time: 0.045 (0.219)
510 / 5005	Time: 0.056 (0.219)
511 / 5005	Time: 0.050 (0.219)
512 / 5005	Time: 1.392 (0.221)
513 / 5005	Time: 0.042 (0.221)
514 / 5005	Time: 0.047 (0.220)
515 / 5005	Time: 0.045 (0.220)
516 / 5005	Time: 0.063 (0.220)
517 / 5005	Time: 0.039 (0.219)
518 / 5005	Time: 0.058 (0.219)
519 / 5005	Time: 0.043 (0.219)
520 / 5005	Time: 0.039 (0.218)
521 / 5005	Time: 0.073 (0.218)
522 / 5005	Time: 0.048 (0.218)
523 / 5005	Time: 0.072 (0.217)
524 / 5005	Time: 0.047 (0.217)
525 / 5005	Time: 0.096 (0.217)
526 / 5005	Time: 0.058 (0.217)
527 / 5005	Time: 0.322 (0.217)
528 / 5005	Time: 0.057 (0.216)
529 / 5005	Time: 0.655 (0.217)
530 / 5005	Time: 0.775 (0.218)
531 / 5005	Time: 0.049 (0.218)
532 / 5005	Time: 0.048 (0.218)
533 / 5005	Time: 0.039 (0.217)
534 / 5005	Time: 0.039 (0.217)
535 / 5005	Time: 0.051 (0.217)
536 / 5005	Time: 0.074 (0.216)
537 / 5005	Time: 0.061 (0.216)
538 / 5005	Time: 0.057 (0.216)
539 / 5005	Time: 0.051 (0.216)
540 / 5005	Time: 0.048 (0.215)
541 / 5005	Time: 0.049 (0.215)
542 / 5005	Time: 0.045 (0.215)
543 / 5005	Time: 0.047 (0.214)
544 / 5005	Time: 0.293 (0.214)
545 / 5005	Time: 0.646 (0.215)
546 / 5005	Time: 0.328 (0.215)
547 / 5005	Time: 1.452 (0.218)
548 / 5005	Time: 0.761 (0.219)
549 / 5005	Time: 0.045 (0.218)
550 / 5005	Time: 0.052 (0.218)
551 / 5005	Time: 0.045 (0.218)
552 / 5005	Time: 0.048 (0.217)
553 / 5005	Time: 0.039 (0.217)
554 / 5005	Time: 0.053 (0.217)
555 / 5005	Time: 0.050 (0.217)
556 / 5005	Time: 0.038 (0.216)
557 / 5005	Time: 0.039 (0.216)
558 / 5005	Time: 0.046 (0.216)
559 / 5005	Time: 0.050 (0.215)
